桶川,北本,4.6,高崎
北本,鴻巣,3.6,高崎
鴻巣,北鴻巣,4.3,高崎
北鴻巣,吹上,3.0,高崎
吹上,行田,2.3,高崎
行田,熊谷,4.8,高崎
熊谷,籠原,6.6,高崎
籠原,深谷,4.8,高崎
深谷,岡部,4.3,高崎
岡部,本庄,5.6,高崎
本庄,神保原,4.0,高崎
神保原,新町,4.5,高崎
新町,倉賀野,6.1,高崎
倉賀野,高崎,4.4,高崎
高崎,高崎問屋町,2.8,上越
高崎問屋町,井野,1.2,上越
井野,新前橋,3.3,上越
新前橋,群馬総社,4.8,上越
群馬総社,八木原,5.6,上越
八木原,渋川,3.4,上越
渋川,敷島,6.4,上越
敷島,津久田,3.0,上越
津久田,岩本,5.8,上越
岩本,沼田,5.1,上越
沼田,後閑,5.2,上越
後閑,上牧,7.1,上越
上牧,水上,5.4,上越
渋川,金島,5.5,吾妻
金島,祖母島,2.2,吾妻
祖母島,小野上,4.2,吾妻
小野上,小野上温泉,1.8,吾妻
小野上温泉,市城,2.7,吾妻
市城,中之条,3.4,吾妻
中之条,群馬原町,3.1,吾妻
群馬原町,郷原,3.4,吾妻
郷原,矢倉,1.7,吾妻
矢倉,岩島,2.5,吾妻
岩島,川原湯温泉,6.5,吾妻
川原湯温泉,長野原草津口,5.0,吾妻
長野原草津口,群馬大津,2.2,吾妻
群馬大津,羽根尾,2.2,吾妻
羽根尾,袋倉,2.9,吾妻
袋倉,万座・鹿沢口,2.9,吾妻
万座・鹿沢口,大前,3.1,吾妻
小山,思川,5.4,両毛
思川,栃木,5.4,両毛
栃木,大平下,4.4,両毛
大平下,岩舟,4.1,両毛
岩舟,佐野,7.3,両毛
佐野,(両)富田,4.5,両毛
(両)富田,あしかがフラワーパーク,0.9,両毛
あしかがフラワーパーク,足利,6.2,両毛
足利,山前,4.5,両毛
山前,小俣,4.6,両毛
小俣,桐生,5.6,両毛
桐生,岩宿,4.0,両毛
岩宿,国定,6.4,両毛
国定,伊勢崎,5.8,両毛
伊勢崎,駒形,5.8,両毛
駒形,前橋大島,3.2,両毛
前橋大島,前橋,3.8,両毛
前橋,新前橋,2.5,両毛
小山,小田林,4.9,水戸
小田林,結城,1.7,水戸
結城,東結城,1.7,水戸
東結城,川島,2.1,水戸
川島,玉戸,2.1,水戸
玉戸,下館,3.7,水戸
下館,新治,6.1,水戸
新治,大和,3.6,水戸
大和,岩瀬,3.7,水戸
岩瀬,羽黒,3.2,水戸
羽黒,福原,4.2,水戸
福原,稲田,3.1,水戸
稲田,笠間,3.2,水戸
笠間,宍戸,5.2,水戸
宍戸,友部,1.7,水戸
宇都宮,鶴田,4.8,日光
鶴田,鹿沼,9.5,日光
鹿沼,文挟,8.1,日光
文挟,下野大沢,5.8,日光
下野大沢,今市,5.7,日光
今市,日光,6.6,日光
宝積寺,下野花岡,3.9,烏山
下野花岡,(烏)仁井田,2.0,烏山
(烏)仁井田,鴻野山,2.4,烏山
鴻野山,大金,4.4,烏山
大金,小塙,2.6,烏山
小塙,(烏)滝,2.2,烏山
(烏)滝,烏山,2.9,烏山
高崎,北高崎,2.4,信越
北高崎,群馬八幡,4.0,信越
群馬八幡,安中,4.2,信越
安中,磯部,7.0,信越
磯部,松井田,5.1,信越
松井田,西松井田,1.2,信越
西松井田,(信)横川,5.8,信越
東京,新日本橋,1.2,総武
新日本橋,馬喰町,1.1,総武
馬喰町,錦糸町,2.5,総武
錦糸町,亀戸,1.5,総武
亀戸,平井,1.9,総武
平井,新小岩,1.8,総武
新小岩,小岩,2.8,総武
小岩,市川,2.6,総武
市川,本八幡,2.0,総武
本八幡,下総中山,1.6,総武
下総中山,西船橋,1.6,総武
西船橋,船橋,2.6,総武
船橋,東船橋,1.8,総武
東船橋,津田沼,1.7,総武
津田沼,幕張本郷,2.9,総武
幕張本郷,幕張,2.0,総武
幕張,新検見川,1.6,総武
新検見川,稲毛,2.7,総武
稲毛,西千葉,1.9,総武
西千葉,千葉,1.4,総武
千葉,東千葉,0.9,総武
東千葉,都賀,3.3,総武
都賀,四街道,3.5,総武
四街道,物井,4.2,総武
物井,佐倉,4.2,総武
佐倉,南酒々井,4.0,総武
南酒々井,榎戸,2.9,総武
榎戸,八街,3.7,総武
八街,日向,5.8,総武
日向,成東,5.2,総武
成東,松尾,5.6,総武
松尾,横芝,4.3,総武
横芝,飯倉,3.8,総武
飯倉,八日市場,3.1,総武
八日市場,干潟,5.1,総武
干潟,(総)旭,4.8,総武
(総)旭,飯岡,2.7,総武
飯岡,倉橋,2.9,総武
倉橋,猿田,2.6,総武
猿田,松岸,5.5,総武
松岸,銚子,3.2,総武
錦糸町,両国,1.5,総武
両国,浅草橋,0.8,総武
浅草橋,秋葉原,1.1,総武
秋葉原,御茶ノ水,0.9,総武
東京,八丁堀,1.2,京葉
八丁堀,越中島,1.6,京葉
越中島,潮見,2.6,京葉
潮見,新木場,2.0,京葉
新木場,葛西臨海公園,3.2,京葉
葛西臨海公園,舞浜,2.1,京葉
舞浜,新浦安,3.4,京葉
新浦安,市川塩浜,2.1,京葉
市川塩浜,二俣新町,4.4,京葉
二俣新町,南船橋,3.4,京葉
南船橋,新習志野,2.3,京葉
新習志野,幕張豊砂,1.7,京葉
幕張豊砂,海浜幕張,1.7,京葉
海浜幕張,検見川浜,2.0,京葉
検見川浜,稲毛海岸,1.6,京葉
稲毛海岸,千葉みなと,3.7,京葉
千葉みなと,蘇我,4.0,京葉
市川塩浜,西船橋,5.9,京葉
